title,contributor,description,hyperlink
The cat - Felis domesticus,L. Prang & Co.,"1 print : color lithograph ; sheet 27.9 x 35.6 cm. | Print shows a left side view of a domestic cat, full-length, lying down, faceing front, with one paw resting on a ball of yarn; also shows ""eye in sunlilght"" and ""eye at night"", ""teeth of cat family"", ""tongue of cat family"", ""claw drawn back"", and ""claw thrust out"".",https://www.loc.gov/item/2017660723/
The black cat,"Beardsley, Aubrey",1 print : engraving. | Black cat on head of woman.,https://www.loc.gov/item/93509663/
[Mother cat and kittens],"Anderson, Alexander","1 print : wood engraving ; 5.2 x 7.2 cm (image), 10.4 x 12.9 cm (sheet) | Print shows a cat with three kittens.",https://www.loc.gov/item/2013646722/
Cat and kittens,"Ronner, Henriette - Schaus, W. (William)","1 print : chromolithograph ; sheet 31.6 x 22.3 cm. | Print shows a cat with three kittens at a green food or water dish, with a basket of straw in a room where the floor is also strewn with straw.",https://www.loc.gov/item/2017650796/
"The Black Cat, December",N/A,"1 print : color ; sheet 30 x 24 cm (poster format) | Poster shows a black cat wearing a collar with a ""5 cents"" charm as the cover illustration for The Black Cat for December.",https://www.loc.gov/item/2015647209/
Treatise on Cats.,N/A,"This manuscript containing fine paintings of cats is in the format of a samut khoi (Thai folding book) with 12 folios, which open from top to bottom. It was produced in the 19th century in central Thailand. Folding books were usually made from the bark of mulberry trees; minerals, plant liquids, and occasionally materials imported from China and Europe were used as paints. Sometimes...",https://www.loc.gov/resource/gdcwdl.wdl_14291/
[Two domestic cats fighting],"Brodtmann, Joseph - Mind, Gottfried",1 print : lithograph ; 23.2 x 31.5 cm (sheet),https://www.loc.gov/item/2012645546/
[College girl walking cats],N/A,1 print : photomechanical ; sheet 92 x 122 cm. or less.,https://www.loc.gov/item/2018757284/
"[Cat, curled up]","Stephens, Alice Barber",1 drawing : charcoal.,https://www.loc.gov/item/2010718354/
Sketches from cat life,"Stephens, Alice Barber",1 drawing : pen and ink.,https://www.loc.gov/item/2010718276/
Hon[orable Mr] cat,"Hyde, Helen","1 print on white wove tissue paper : woodcut, color ; 21.7 x 9.6 cm. (block), 26.8 x 19.2 cm. (sheet) | Print shows a young Japanese girl carrying a cat, walking in the rain under an umbrella held by an adult.",https://www.loc.gov/item/2003675444/
